brand,company_responses
AmazonHelp,169840
AppleSupport,106860
Uber_Support,56270
SpotifyCares,43265
Delta,42253
Tesco,38573
AmericanAir,36764
TMobileHelp,34317
comcastcares,33031
British_Airways,29361
SouthwestAir,28977
VirginTrains,27817
Ask_Spectrum,25860
XboxSupport,24557
sprintcare,22381
hulu_support,21872
sainsburys,19466
GWRHelp,19364
AskPlayStation,19098
ChipotleTweets,18749
VerizonSupport,17966
UPSHelp,17817
ATVIAssist,17650
O2,16212
Safaricom_Care,16077
idea_cares,15724
AskTarget,13218
AirAsiaSupport,12829
BofA_Help,12683
SW_Help,12231
ArgosHelpers,12174
AskLyft,11809
marksandspencer,11504
AskAmex,11358
MicrosoftHelps,11304
AskPayPal,11298
Morrisons,10126
AdobeCare,9917
airtel_care,9881
AskeBay,9686
AirbnbHelp,8875
ChaseSupport,8811
McDonalds,8478
AldiUK,8114
JetBlue,8020
CoxHelp,7861
Ask_WellsFargo,7578
AzureSupport,7565
AlaskaAir,7478
HPSupport,7200
LondonMidland,6822
GloCare,6308
DropboxSupport,5954
DellCares,5336
GreggsOfficial,4522
nationalrailenq,4444
VirginAtlantic,4318
TacoBellTeam,4082
AskCiti,4081
AskPapaJohns,3908
CenturyLinkHelp,3801
NikeSupport,3468
Postmates_Help,3346
VirginAmerica,2815
ATT,2790
Walmart,2643
IHGService,2643
TfL,2243
askpanera,2153
KFC_UKI_Help,2103
NortonSupport,2011
GoDaddyHelp,1965
ArbysCares,1904
AsurionCares,1898
DoorDash_Help,1581
sizehelpteam,1482
VMUcare,1381
Kimpton,1339
SCsupport,1329
TwitterSupport,1290
DunkinDonuts,1290
USCellularCares,1177
NeweggService,1079
PandoraSupport,1043
AWSSupport,1035
AskRBC,1011
AskVirginMoney,914
BoostCare,907
YahooCare,906
OPPOCareIN,879
PearsonSupport,841
HiltonHelp,833
GooglePlayMusic,804
MTNC_Care,784
AskTigogh,715
asksalesforce,710
askvisa,709
AskSeagate,639
MOO,630
ask_progressive,612
KeyBank_Help,555
AskRobinhood,432
mediatemplehelp,305
JackBox,266
OfficeSupport,218
AskDSC,210
CarlsJr,196
HotelTonightCX,152
